word	nodeType	synsetCount	unit
pretty	ADJ	3	ATE1
full	ADJ	13	ATE1
different	ADJ	5	ATE1
more	ADJ	5	ATE1
explosive	ADJ	4	ATE1
explosive	ADJ	4	ATE1
giant	ADJ	8	ATE1
good	ADJ	27	ATE1
dead	ADJ	21	ATE1
young	ADJ	14	ATE1
healthy	ADJ	5	ATE1
tough	ADJ	12	ATE1
wrong	ADJ	13	ATE1
giant	ADJ	8	ATE1
whole	ADJ	8	ATE1
wrong	ADJ	13	ATE1
dead	ADJ	21	ATE1
incomplete	ADJ	2	ATE1
bad	ADJ	17	ATE1
good	ADJ	27	ATE1
large	ADJ	11	ATE1
sweet	ADJ	16	ATE1
hot	ADJ	21	ATE1
hot	ADJ	21	ATE1
bad	ADJ	17	ATE1
present	ADJ	18	ATE1
welcome	ADJ	6	ATE1
momentous	ADJ	1	ATE1
large	ADJ	11	ATE1
scared	ADJ	4	ATE1
important	ADJ	5	ATE1
sure	ADJ	10	ATE1
ignorant	ADJ	3	ATE1
least	ADJ	3	ATE1
ok	ADJ	4	ATE1
deep	ADJ	21	ATE1
saucy	ADJ	2	ATE1
alright	ADJ	4	ATE1
great	ADJ	7	ATE1
alone	ADJ	6	ATE1
cute	ADJ	2	ATE1
old	ADJ	9	ATE1
dead	ADJ	21	ATE1
bad	ADJ	17	ATE1
crazy	ADJ	6	ATE1
super	ADJ	5	ATE1
easy	ADJ	15	ATE1
cool	ADJ	11	ATE1
first	ADJ	16	ATE1
scared	ADJ	4	ATE1
main	ADJ	5	ATE1
permanent	ADJ	3	ATE1
convenient	ADJ	2	ATE1
great	ADJ	7	ATE1
new	ADJ	12	ATE1
blindfolded	ADJ	2	ATE1
tasty	ADJ	1	ATE1
improbable	ADJ	3	ATE1
dead	ADJ	21	ATE1
unaffected	ADJ	4	ATE1
dead	ADJ	21	ATE1
big	ADJ	17	ATE1
bad	ADJ	17	ATE1
stupid	ADJ	4	ATE1
hot	ADJ	21	ATE1
terrible	ADJ	4	ATE1
complicated	ADJ	3	ATE1
well	ADJ	22	ATE1
right	ADJ	36	ATE1
correct	ADJ	12	ATE1
royal	ADJ	7	ATE1
good	ADJ	27	ATE1
simple	ADJ	9	ATE1
smart	ADJ	9	ATE1
welcome	ADJ	6	ATE1
last	ADJ	21	ATE1
sweet	ADJ	16	ATE1
more	ADJ	5	ATE1
former	ADJ	5	ATE1
dead	ADJ	21	ATE1
nuts	ADJ	9	ATE1
royal	ADJ	7	ATE1
full	ADJ	13	ATE1
awake	ADJ	3	ATE1
adorable	ADJ	1	ATE1
delicious	ADJ	3	ATE1
delicious	ADJ	3	ATE1
squid	ADJ	2	ATE10
other	ADJ	4	ATE10
many	ADJ	1	ATE10
bad	ADJ	17	ATE10
human	ADJ	4	ATE10
bad	ADJ	17	ATE10
well	ADJ	22	ATE10
half	ADJ	6	ATE10
half	ADJ	6	ATE10
serious	ADJ	6	ATE10
ohhhhhhhh	ADJ	0	ATE10
cold	ADJ	16	ATE10
hearted	ADJ	0	ATE10
long	ADJ	12	ATE10
own	ADJ	2	ATE10
small	ADJ	13	ATE10
cool	ADJ	11	ATE10
wrong	ADJ	13	ATE10
sad	ADJ	3	ATE10
tough	ADJ	12	ATE10
soooo	ADJ	0	ATE10
sad	ADJ	3	ATE10
rough	ADJ	18	ATE10
other	ADJ	4	ATE10
slight	ADJ	5	ATE10
smooth	ADJ	12	ATE10
raunchy	ADJ	3	ATE10
maddening	ADJ	4	ATE10
disgusting	ADJ	3	ATE10
fantastic	ADJ	5	ATE10
first	ADJ	16	ATE10
rough	ADJ	18	ATE10
real	ADJ	13	ATE10
ready	ADJ	8	ATE10
rough	ADJ	18	ATE10
other	ADJ	4	ATE10
little	ADJ	10	ATE10
right	ADJ	36	ATE10
sure	ADJ	10	ATE10
rough	ADJ	18	ATE10
perfect	ADJ	5	ATE10
several	ADJ	3	ATE10
smooth	ADJ	12	ATE10
right	ADJ	36	ATE10
terrible	ADJ	4	ATE10
bad	ADJ	17	ATE10
good	ADJ	27	ATE10
sorry	ADJ	4	ATE10
fair	ADJ	17	ATE10
fair	ADJ	17	ATE10
real	ADJ	13	ATE10
small	ADJ	13	ATE10
least	ADJ	3	ATE10
more	ADJ	5	ATE10
pet	ADJ	7	ATE10
pet	ADJ	7	ATE10
great	ADJ	7	ATE10
other	ADJ	4	ATE10
awesome	ADJ	1	ATE10
other	ADJ	4	ATE10
good	ADJ	27	ATE10
cool	ADJ	11	ATE10
right	ADJ	36	ATE10
fine	ADJ	10	ATE10
great	ADJ	7	ATE10
crazy	ADJ	6	ATE10
other	ADJ	4	ATE10
raw	ADJ	14	ATE10
happy	ADJ	4	ATE10
other	ADJ	4	ATE10
rashy	ADJ	0	ATE10
entire	ADJ	5	ATE10
other	ADJ	4	ATE10
fine	ADJ	10	ATE10
okay	ADJ	4	ATE10
healthy	ADJ	5	ATE10
healthy	ADJ	5	ATE10
beautiful	ADJ	2	ATE10
gorgeous	ADJ	1	ATE10
second	ADJ	15	ATE10
quiet	ADJ	13	ATE10
itchy	ADJ	2	ATE10
cold	ADJ	16	ATE10
naked	ADJ	5	ATE10
crazy	ADJ	6	ATE10
old	ADJ	9	ATE10
different	ADJ	5	ATE10
wrong	ADJ	13	ATE10
stuck	ADJ	18	ATE10
happy	ADJ	4	ATE10
several	ADJ	3	ATE10
happy	ADJ	4	ATE10
more	ADJ	5	ATE10
dirty	ADJ	13	ATE10
dirty	ADJ	13	ATE10
happy	ADJ	4	ATE10
corny	ADJ	1	ATE10
ready	ADJ	8	ATE10
ready	ADJ	8	ATE10
ready	ADJ	8	ATE10
several	ADJ	3	ATE10
naked	ADJ	5	ATE10
gorgeous	ADJ	1	ATE10
magic	ADJ	3	ATE11
free	ADJ	22	ATE11
rash	ADJ	4	ATE11
sunken	ADJ	10	ATE11
lifeless	ADJ	4	ATE11
foul	ADJ	16	ATE11
evil	ADJ	6	ATE11
evil	ADJ	6	ATE11
sure	ADJ	10	ATE11
unattractive	ADJ	3	ATE11
unattractive	ADJ	3	ATE11
desperate	ADJ	7	ATE11
more	ADJ	5	ATE11
free	ADJ	22	ATE11
free	ADJ	22	ATE11
magical	ADJ	1	ATE11
left	ADJ	24	ATE11
cool	ADJ	11	ATE11
mystical	ADJ	3	ATE11
dangerous	ADJ	2	ATE11
magical	ADJ	1	ATE11
free	ADJ	22	ATE11
right	ADJ	36	ATE11
big	ADJ	17	ATE11
ancient	ADJ	4	ATE11
same	ADJ	6	ATE11
free	ADJ	22	ATE11
mystical	ADJ	3	ATE11
young	ADJ	14	ATE11
Most	ADJ	5	ATE11
ready	ADJ	8	ATE11
responsible	ADJ	3	ATE11
full	ADJ	13	ATE11
responsible	ADJ	3	ATE11
embarrassed	ADJ	4	ATE11
fine	ADJ	10	ATE11
fine	ADJ	10	ATE11
star	ADJ	12	ATE11
big	ADJ	17	ATE11
final	ADJ	5	ATE11
final	ADJ	5	ATE11
gross	ADJ	10	ATE11
normal	ADJ	5	ATE11
same	ADJ	6	ATE11
amazed	ADJ	3	ATE11
last	ADJ	21	ATE11
total	ADJ	7	ATE11
stupid	ADJ	4	ATE11
hysterical	ADJ	2	ATE11
unhappy	ADJ	4	ATE11
cool	ADJ	11	ATE11
cool	ADJ	11	ATE11
radical	ADJ	11	ATE11
ready	ADJ	8	ATE11
more	ADJ	5	ATE11
more	ADJ	5	ATE11
more	ADJ	5	ATE11
right	ADJ	36	ATE11
fine	ADJ	10	ATE11
okay	ADJ	4	ATE11
disgusted	ADJ	3	ATE11
new	ADJ	12	ATE11
dimensional	ADJ	2	ATE11
